R1X;R1Y;R1Z;R2X;R2Y;R2Z;R3X;R3Y;R3Z;R4X;R4Y;R4Z;R5X;R5Y;R5Z;R6X;R6Y;R6Z;R7X;R7Y;R7Z;L1X;L1Y;L1Z;L2X;L2Y;L2Z;L3X;L3Y;L3Z;L4X;L4Y;L4Z;L5X;L5Y;L5Z;L6X;L6Y;L6Z;L7X;L7Y;L7Z
5.67;2.92;3.81;1.04;28.21;28.18;5.5;6.29;1.25;5.7;7.71;2.15;0.97;4.22;28.5;5.62;11.98;6.04;0.28;15.12;28.21;6.33;5.06;27.8;5.37;5.7;1.82;1.45;8.46;26.82;3.33;53.14;54.94;52.4;4.54;54.18;1.83;53.19;55.12;54.93;1.59;55.19
10.91;5.27;7.4;2;54.16;54.07;10.56;12.22;2.37;10.94;14.89;4.1;1.85;8.13;54.68;11.08;22.68;11.88;0.97;28.89;53.73;12.05;9.65;26.9;10.3;10.82;3.56;2.81;16.06;25.01;6.45;75.57;78.96;73.89;8.69;77.21;3.83;75.42;79.23;78.94;3.62;79.35
15.7;7.03;10.73;2.9;78.07;77.83;15.18;17.83;3.37;15.76;21.58;5.9;2.63;11.74;78.71;16.26;32.25;17.44;2.08;41.48;76.73;17.34;13.99;26.11;14.92;15.55;5.19;4.08;23.28;23.32;9.46;96.13;101.03;93.35;12.53;98.09;5.93;95.65;101.34;100.93;5.9;101.46
20.14;8.25;13.88;3.73;100.1;99.65;19.4;23.14;4.24;20.18;27.82;7.53;3.34;15.09;100.77;21.18;40.72;22.7;3.66;53.02;97.33;22.22;18.15;25.36;19.22;19.97;6.69;5.22;30.07;21.7;12.32;114.99;121.32;111.03;15.96;117.05;8.02;114.14;121.64;121.09;8.22;121.68
24.25;9.09;16.84;4.49;120.37;119.68;23.27;28.17;5.01;24.23;33.65;9;3.93;18.19;121.01;25.8;48.17;27.65;5.69;63.62;115.7;26.75;22.08;24.67;23.21;24.14;8.09;6.23;36.4;20.15;14.99;132.3;139.99;127.15;18.94;134.3;10.04;131.08;140.28;139.58;10.47;140.16
28.05;9.5;19.63;5.18;139.03;138.06;26.82;32.94;5.69;27.95;39.1;10.34;4.46;21.05;139.58;30.14;54.68;32.29;8.06;73.37;132.1;30.91;25.85;24.02;26.89;28.06;9.38;7.1;42.31;18.64;17.48;148.2;157.17;141.84;21.49;150.02;11.94;146.63;157.41;156.56;12.57;157.05
31.55;9.48;22.24;5.83;156.23;154.93;30.04;37.49;6.26;31.35;44.21;11.55;4.93;23.71;156.62;34.17;60.38;36.62;10.7;82.35;146.72;34.72;29.45;23.41;30.29;31.7;10.55;7.84;47.8;17.18;19.74;162.8;172.97;155.28;23.58;164.33;13.73;160.92;173.16;172.13;14.52;172.48
34.75;9.17;24.69;6.43;172.08;170.4;32.97;41.8;6.74;34.46;48.97;12.64;5.35;26.17;172.25;37.94;65.28;40.66;13.46;90.64;159.85;38.23;32.88;22.83;33.42;35.11;11.63;8.45;52.9;44.54;21.85;176.21;187.52;167.58;25.24;177.35;15.36;174.05;187.63;186.42;16.3;186.56
37.65;8.88;26.93;6.87;186.67;184.62;35.64;45.91;7.15;37.3;53.45;13.62;5.72;28.44;186.57;41.45;69.44;44.44;16.28;98.29;171.64;41.43;36.18;22.29;36.29;38.34;12.6;8.93;57.63;69.61;23.81;188.52;200.91;178.85;26.49;189.19;16.87;186.14;200.94;199.52;17.91;199.39
40.29;8.58;28.97;7.19;200.1;197.7;38.1;49.69;7.51;39.89;57.65;14.49;6;30.55;199.7;44.72;72.93;47.95;19.18;105.35;182.19;44.37;39.34;21.77;38.93;41.38;13.49;9.3;62.01;92.59;25.61;199.82;213.24;189.17;27.35;199.96;18.28;197.25;213.18;211.54;19.37;211.08
