R1X;R1Y;R1Z;R2X;R2Y;R2Z;R3X;R3Y;R3Z;R4X;R4Y;R4Z;R5X;R5Y;R5Z;R6X;R6Y;R6Z;R7X;R7Y;R7Z;L1X;L1Y;L1Z;L2X;L2Y;L2Z;L3X;L3Y;L3Z;L4X;L4Y;L4Z;L5X;L5Y;L5Z;L6X;L6Y;L6Z;L7X;L7Y;L7Z
175.6;263.73;9.32;5.14;136.9;168.29;18.78;163.85;178.22;8.42;120.11;179.01;137.55;135.61;19.05;35.04;143.03;163.48;165;80.94;168.85;8.63;78.78;2.17;8.31;137.32;19.72;16.53;25.88;120.73;17.42;33.14;1.12;341.71;11.53;354.1;346.06;59.73;148.29;350.76;314.84;0.69
359.02;311.97;8.63;12.44;274.33;333.06;37.61;328.61;355.68;16.03;239.19;358.12;274.22;269.34;38.07;70.84;288.78;325.51;326.52;162.27;334.31;7.37;87.54;3.94;24.13;154.47;23.26;26.99;35.92;357.59;17.78;37.02;2.07;340.83;15.04;352.65;340.91;80.88;354.22;344.22;287.11;5.18
357.83;311.39;9.48;13.62;274.38;330.7;38.27;327.62;354.86;14.75;240.91;359.78;275.59;267.01;37.33;71.78;294.69;324.37;318.33;161.01;325.87;2.27;93.26;313.27;18.64;161.41;20.09;29.07;43.58;358.09;17.11;40.3;2.07;340.6;14.04;349.87;336.53;89.87;352.65;339.45;270.67;10.79
359.13;309.56;8.67;16.98;274.73;326.73;39.09;329.82;354.18;16.59;238.88;356.96;273.18;261.64;38.43;73.03;298.54;323.03;305.48;159.38;312.71;0.93;87.46;358.07;28.76;161.66;32.08;31.15;47.58;98.19;17.84;44.85;6.49;340.32;14.22;346.98;341.61;96.51;354.23;349.07;248.84;2.24
79.91;316.27;224.37;54.96;134.48;232.77;20.72;148.53;303.29;71.22;336.1;301.05;107.27;227.37;184.56;63.98;35.78;292.61;279.39;97.09;267.11;295.59;95.91;348.56;85.65;143.82;96.89;41.43;46.43;13.76;36.05;76.65;32.48;331.41;201.14;327.28;349.41;98.23;341.29;49.09;244.52;297.27
42.5;108.92;227.82;349.78;86.19;161.4;320.21;56.75;221.45;65.22;73.41;288.33;82.34;245.07;222.96;50.34;27.57;271.99;282.37;70.95;264.66;324.98;114.6;326.15;88.42;130.56;103.73;48.11;47.32;17.54;38.87;76.68;38.6;327.56;323.45;318.66;332.9;101.86;327.84;37.62;238.64;307.59
16.55;159.56;201.74;345.93;38.23;149.2;354.78;27.8;225.66;30.96;27.64;273.43;34.36;245.93;278.46;40.51;12.56;263.15;284.87;67.92;254.56;315.38;102.69;311.53;91.5;139.62;105.1;46.4;59.85;18.05;25.88;87.08;46.95;341.85;322.14;313.99;310.69;100.97;319.78;18.75;227.67;324.79
6.95;140.36;194.21;349.78;27.32;149.22;3.11;25.91;227.18;22.28;11.36;273.14;24.69;245.69;290.05;35.95;8.25;263.8;288.21;76.23;256.51;305.8;78.95;314.04;35.22;149.79;50.69;24.35;63.92;8.45;12.17;65.18;37.65;340.78;324.16;313.86;323.23;107.51;331.68;7.66;224.92;335.11
341.94;145.33;193.07;345.74;27.41;149.04;355.25;20.77;226.59;22.95;22.5;272.33;21.98;238.88;296.33;33.42;6.05;262.88;290.05;75.71;257.53;305.8;73.87;317.39;37.7;149.18;47.34;21.24;64.36;4.62;13.61;65.81;38.56;342.34;322.68;312.62;322.92;110.72;332.88;350.39;223.14;343.43
357.97;137.58;191.07;347.09;23.67;148.77;358.91;19.28;227.04;21.16;18.18;271.36;19.9;233.8;298.64;32.33;6.17;262.05;290.36;76.47;257.65;305.46;78.07;312.67;48.29;151.79;58.19;26.02;67.28;6.72;15.99;67.58;39.88;342.66;321.37;310.64;322.43;113.39;332.45;357.03;222.69;346.1
