R1X;R1Y;R1Z;R2X;R2Y;R2Z;R3X;R3Y;R3Z;R4X;R4Y;R4Z;R5X;R5Y;R5Z;R6X;R6Y;R6Z;R7X;R7Y;R7Z;L1X;L1Y;L1Z;L2X;L2Y;L2Z;L3X;L3Y;L3Z;L4X;L4Y;L4Z;L5X;L5Y;L5Z;L6X;L6Y;L6Z;L7X;L7Y;L7Z
1.12;22.35;28.53;2.07;19.5;25.85;3.24;28.3;28.54;1.89;19.25;27.83;22.71;20.26;2.75;3.71;21.79;26.23;25.27;12.35;25.79;54.59;8.93;53.98;42.4;14.02;15.88;5.78;5.43;27.51;3.56;8.46;28.54;53.41;0.38;55;54.04;6.81;28.57;54.5;50.93;26.59
2.25;42.97;54.57;4.32;37.77;49.19;6.18;54.51;54.68;3.67;37.05;53.42;43.64;38.82;5.29;7.17;42.06;50.27;48.65;23.78;49.65;78.36;16.46;77.19;54.7;26.33;30.22;10.98;10.21;26.37;7.22;15.78;28.76;76.01;0.72;79.05;77.12;14.28;54.73;77.63;69.35;24.99
3.29;62.06;78.5;6.56;54.8;70.42;8.87;78.72;78.72;5.32;53.37;77;62.87;55.78;7.63;10.45;60.9;72.28;70.05;34.35;71.51;100.15;23.35;98.42;66.16;37.54;43.52;15.87;14.86;25.31;10.91;22.47;29.28;96.69;0.97;101.07;98.11;22.19;78.72;98.34;84.77;24.07
4.35;79.68;100.41;8.9;70.79;89.66;11.37;101.19;100.77;6.92;68.32;98.6;80.57;71.21;9.74;13.63;78.46;92.31;89.51;44.09;91.38;119.99;29.8;117.76;76.86;47.59;55.95;20.56;19.47;24.39;14.57;28.6;30.08;115.66;0.98;121.21;117.23;30.3;100.7;116.85;98.15;23.77
5.4;95.85;120.49;11.26;85.66;107.11;13.68;93.12;121.03;8.38;82.01;118.49;96.86;85.32;11.63;16.66;94.8;110.59;107.3;53.1;109.54;138.13;35.89;135.43;86.55;56.77;67.25;24.94;23.84;23.56;18.19;33.92;31.07;133.07;29.61;139.68;134.99;38.26;121.17;133.36;110.16;24.05
6.44;110.66;138.92;13.72;99.52;122.9;15.88;85.77;139.65;9.69;94.44;136.79;111.85;98.25;13.32;19.55;109.98;127.25;123.5;61.49;126.05;154.74;41.34;151.53;95.9;65.09;78.05;29.01;28.22;22.77;21.63;38.7;32.11;149.06;55.79;156.51;151.36;45.8;140.08;148.28;121.13;24.62
7.36;124.2;155.9;16.06;112.38;137.28;17.93;107.71;156.76;10.64;105.91;153.91;125.64;110.11;14.91;22.23;124.25;142.5;138.6;69.1;141.43;169.84;46.27;166.12;104.94;72.69;88.39;32.73;32.49;21.97;24.91;42.83;33.14;163.72;79.81;171.94;166.72;52.94;128.99;161.63;131.3;25.53
8.17;136.63;171.5;18.33;124.38;150.33;19.78;127.83;172.48;11.31;116.45;169.87;138.33;121.02;16.39;24.71;137.54;156.48;152.61;76.08;155.74;183.64;50.72;179.4;113.57;79.62;98.22;36.07;36.67;21.15;27.96;46.32;34.14;177.2;101.88;186.02;181.17;59.63;119.16;173.67;140.87;26.64
8.97;148.03;185.81;20.63;135.66;162.11;21.52;117.65;186.9;11.92;126.07;184.55;150.05;130.96;17.7;27.04;150.01;169.24;165.7;82.49;169.11;196.34;54.71;191.54;121.95;85.98;107.65;39.1;40.73;20.3;30.89;49.18;35.14;189.53;122.03;198.88;194.96;65.84;110.61;184.51;149.94;27.92
9.72;158.52;198.93;22.84;146.22;172.79;23.09;108.28;200.15;12.36;134.89;198.18;160.88;140.08;18.82;29.22;161.63;180.86;177.88;88.48;181.53;208.06;58.25;202.64;129.72;91.79;116.38;41.9;44.68;19.49;33.63;51.52;36.15;200.9;140.42;210.62;208.03;71.64;103.19;194.32;158.45;29.31
10.51;168.17;210.89;25.05;156.29;182.43;24.57;99.84;212.28;12.83;142.94;210.65;170.87;148.29;19.79;31.34;172.59;191.38;188.68;94;192.53;218.52;61.64;212.48;137.08;96.95;124.64;44.49;48.64;18.73;36.21;53.49;37.17;211.37;157.19;221.29;191.64;77.05;96.76;203.21;166.51;30.76
11.25;177;221.86;27.15;165.75;191.15;25.94;92.05;223.43;13.11;150.27;222.29;180.06;155.82;20.67;33.33;182.82;200.98;198.59;99.16;202.63;228.02;64.67;221.47;143.87;101.66;132.29;46.86;52.47;18.04;38.65;54.96;38.2;221.05;172.57;231.03;176.9;81.98;91.22;211.3;174.23;32.25
12.03;185.18;231.91;29.23;174.79;199.04;27.23;85.03;233.64;13.35;156.99;233.01;188.61;162.61;21.34;35.21;192.48;209.7;207.63;103.89;211.78;236.63;67.47;229.51;150.28;105.82;139.5;49.06;56.37;17.36;40.97;56.13;39.28;229.99;186.34;239.88;163.71;86.61;86.51;218.59;181.57;33.82
12.84;192.51;240.94;31.39;183.39;205.95;28.49;78.61;242.86;13.55;163.17;242.75;196.85;168.73;21.49;36.99;201.61;217.43;215.74;108.23;219.83;244.43;70.24;236.78;156.01;109.53;145.96;51.12;60.16;16.76;43.25;56.88;40.43;238.27;198.62;247.94;152.11;90.88;82.72;225.13;188.55;35.48
13.53;199.31;248.22;33.53;191.9;211.71;29.17;73.15;250.99;14.72;168.88;251.01;204.12;173.67;21.99;38.5;210.19;224.4;223.24;112.41;227.01;251.64;72.51;243.62;159.41;113.6;150.27;52.9;62.9;16.41;45.83;57.78;42.69;246.08;209.62;254.69;140.95;95.03;78.63;231.7;193.91;36.35
