R1X;R1Y;R1Z;R2X;R2Y;R2Z;R3X;R3Y;R3Z;R4X;R4Y;R4Z;R5X;R5Y;R5Z;R6X;R6Y;R6Z;R7X;R7Y;R7Z;L1X;L1Y;L1Z;L2X;L2Y;L2Z;L3X;L3Y;L3Z;L4X;L4Y;L4Z;L5X;L5Y;L5Z;L6X;L6Y;L6Z;L7X;L7Y;L7Z
57.11;37.46;49.22;6.59;175.16;175.78;34.71;40;8.23;36.6;48.83;14.26;6.44;25.3;178.27;35.54;74.71;37.97;179.87;102.14;177.86;64.49;53.39;17.58;53.49;61.36;10.61;6.36;93.11;4.06;39.7;333.97;354.87;325.39;47.72;345.54;16.2;334.03;357.24;356.34;15.03;358.57
71.69;32.57;48.89;13.45;351.2;350.81;67.89;81.89;14.97;72.86;98.57;28.12;12.38;50.63;355.59;74.18;145.23;79.17;1.89;202.33;353.48;78.49;64.68;18.08;68.1;70.41;23.92;16.61;105.22;3.69;42.15;332.99;354.75;320.81;56.36;341.73;26.94;329.01;356.22;355.01;27.25;357.43
72.18;29.04;50.32;13.6;351.34;350.32;68.01;84.15;14.88;73.01;99.93;28.21;12.45;51.29;355.31;76.85;141.45;81.96;3.7;201.51;351.61;78.84;66.22;17.85;69.38;70.57;24.8;17.2;107.59;3.44;43.8;332.1;354.51;317.09;56.75;338.25;30.36;326.21;355.44;354.05;32.83;356.19
72.49;25.06;51.52;13.46;351.11;349.79;68.18;85.9;14.91;72.93;100.85;28.07;12.31;51.46;354.93;78.29;137.52;83.51;5.54;201.04;349.7;79.15;67.64;17.67;70.1;71.45;25.15;16.91;109.26;2.92;44.73;331.49;354.44;314.42;55.88;335.41;32.28;324.55;354.79;353.23;35.63;354.75
72.72;19.17;51.9;13.47;351.38;349.38;68.04;87.68;14.67;72.86;101.91;27.91;12.11;51.61;354.39;79.26;133.85;84.56;7.28;200.73;347.55;79.58;69.22;17.77;70.38;72.95;25.24;16.4;110.41;2.04;45.31;331;354.4;312.5;53.86;333.01;33.45;323.6;354.3;352.55;37.08;353.28
72.8;14.35;52.38;13.53;351.95;348.95;67.61;89.53;13.96;72.72;103.01;27.68;11.65;51.78;353.81;79.78;129.69;85.51;9.22;200.54;345.61;79.75;71.11;17.79;70.49;73.95;25.21;15.71;111.29;0.97;45.68;330.6;354.38;311.07;50.9;330.82;34.19;323.09;353.95;351.94;37.75;351.84
72.79;10.6;53.33;13.4;352.11;348.26;67.23;91.27;13.34;72.52;103.94;27.39;11.35;51.99;353.2;80.54;125.38;86.36;11.39;200.45;343.53;79.71;72.77;17.69;70.58;74.6;25.17;14.95;111.99;292.62;45.88;330.29;354.45;309.96;47.62;328.85;34.65;322.88;353.71;351.41;37.94;350.44
72.81;6.24;54.2;13.38;352.19;347.52;66.95;93.17;12.88;72.3;104.98;27.11;11.14;52.22;352.59;81.36;121.06;87.12;13.55;200.44;341.43;79.7;74.39;17.52;70.65;75.38;25.13;14.05;112.56;358.48;45.99;329.99;354.52;309.1;44.22;327.08;34.95;322.81;353.54;350.61;37.93;349.06
72.88;1;54.73;13.45;352.5;347;66.47;95.05;12.23;72.09;106.08;26.84;10.95;52.44;351.97;82.02;116.74;87.78;15.6;200.47;339.4;79.7;76.04;17.34;70.67;76.34;25.06;13.05;113;357.38;46.02;329.72;354.62;308.4;40.75;325.45;35.13;322.78;353.38;350.15;37.82;347.68
72.9;356.47;55.23;13.53;352.97;346.5;65.83;96.87;11.42;71.87;107.18;26.56;10.73;52.66;351.35;82.53;112.43;88.32;17.53;200.55;337.46;79.66;77.73;17.14;70.65;77.09;24.96;12.11;113.26;356.52;46.04;330.06;354.7;307.89;37.7;324.09;35.26;322.78;353.24;349.84;37.61;346.47
72.86;351.92;56.27;13.58;353.1;345.93;65.4;98.79;10.88;71.63;108.27;26.28;10.27;52.88;350.74;82.9;108.07;88.77;19.36;200.71;335.6;79.62;79.74;17;70.57;78.02;24.8;11.17;113.3;355.53;46.03;329.83;354.8;307.42;34.15;322.63;35.34;322.8;353.12;349.53;37.22;345.15
73.03;347.25;56.75;13.62;353.35;345.59;64.92;100.41;10.18;71.81;109;26.55;10.21;54;350.65;83.33;103.78;89.24;21.22;200.93;333.71;79.48;81.39;16.49;70.65;78.84;24.8;10.38;113.52;354.53;45.6;329.71;354.98;307.02;30.43;321.26;35.41;322.86;353.01;348.9;36.72;343.77
72.72;342.91;57.54;13.67;353.54;344.92;64.49;102.34;9.61;72.4;109.51;27.32;10.26;55.83;350.7;83.4;102.22;89.35;23.01;201.22;331.9;79.43;82.54;16.36;70.6;79.75;24.68;9.5;113.86;353.42;45.76;329.46;355.09;306.65;26.71;319.85;35.46;322.95;352.9;348.47;36.15;342.4
72.52;337.68;58.03;13.76;353.87;344.39;64.03;103.08;8.96;73.15;109.74;28.16;10.3;56.88;350.75;83.3;102.04;89.28;23.1;201.89;332.26;79.32;84.3;16.34;70.44;80.52;24.41;8.5;114.06;352.18;45.83;329.14;355.11;306.02;23;318.27;35.52;323.09;352.81;348.18;35.59;341.04
72.39;333.57;58.8;13.83;354.23;343.78;63.82;103.13;8.67;73.51;109.83;28.57;10.35;57.45;350.82;83.21;101.96;89.22;23.07;202.69;332.59;79.07;85.71;16.14;70.29;80.96;24.11;7.16;114.31;350.93;45.89;328.91;355.21;305.69;19.14;316.76;35.42;323.28;352.73;347.87;35.08;339.69
72.26;329.12;59.67;13.86;354.5;343.12;63.87;103.08;8.68;73.74;109.9;28.81;10.27;57.78;350.89;82.94;101.89;89.16;23.05;203.29;332.86;78.84;87.3;15.85;70.19;81.71;23.89;6.12;114.54;349.68;45.89;328.68;355.34;305.54;15.32;315.4;35.44;323.47;352.65;347.28;34.55;338.34
72.06;325.82;60.4;13.88;354.8;342.55;63.89;103.03;8.67;73.86;109.94;28.95;10.28;57.98;350.95;82.81;101.82;89.12;23.04;203.66;333.04;78.71;89.09;15.62;70.06;82.71;23.68;5.17;114.72;348.43;45.85;327.98;355.46;305.47;11.56;314.07;35.48;323.63;352.55;346.87;33.96;337
71.85;321.15;61.02;13.9;355.18;342.01;63.86;102.95;8.61;73.93;109.97;29.04;10.32;58.11;351;82.8;101.75;89.09;22.96;203.88;333.07;78.58;90.96;15.45;69.86;83.65;23.43;4.16;114.87;347.13;45.02;328.52;355.91;305.39;7.8;312.75;35.54;323.86;352.47;346.58;33.36;335.65
71.48;316.42;61.91;13.92;355.48;341.39;63.85;102.89;8.58;73.94;110.03;29.11;10.4;58.14;351.03;82.81;101.68;89.08;22.99;204.01;333.04;78.4;92.81;15.23;69.66;84.5;23.18;3.37;115.02;346.1;43.93;329.46;356.37;305.31;4.5;311.54;35.6;324.07;352.39;346.33;32.79;334.47
