R1X;R1Y;R1Z;R2X;R2Y;R2Z;R3X;R3Y;R3Z;R4X;R4Y;R4Z;R5X;R5Y;R5Z;R6X;R6Y;R6Z;R7X;R7Y;R7Z;L1X;L1Y;L1Z;L2X;L2Y;L2Z;L3X;L3Y;L3Z;L4X;L4Y;L4Z;L5X;L5Y;L5Z;L6X;L6Y;L6Z;L7X;L7Y;L7Z
185.52;24.05;109.79;175.73;129.39;178.31;15.69;170.82;178.07;0.24;130.57;0.71;168.26;144.39;0.23;17.29;145.27;168.91;168.38;75.86;169.11;359.25;40.92;356.94;337.53;152.94;145.97;44.23;53.33;7.93;43.42;121.3;32.36;345.94;18.6;354.03;350.88;75.99;357.34;350.09;310.14;2.29
332.21;26.24;109.21;353.55;256.96;353.18;31.29;341.22;355.55;203.81;260.45;1.7;336.64;288.13;200.41;35.41;291.16;335.86;335.53;152.35;336.96;359.38;48.53;356.47;329.59;166.77;330.68;56.49;65.04;7.93;51.82;124.36;40.31;344.78;24.95;352.9;349.42;103.68;357.63;340.88;278.14;8.3
332.11;26.67;109.42;356.14;256.2;350.78;32;341.59;355.85;359.08;260.49;2.59;337.08;288.08;358.86;36.39;292.24;334.87;337.37;153.64;338.78;359.09;49.17;356.05;326.14;168.4;327.49;57.42;66.96;7.83;59.19;123.01;47.47;343.88;26.14;351.8;350.13;117.12;359.01;331.39;260.78;16.38
331.88;26.78;109.8;358.21;255.68;348.31;32.23;341.71;355.88;358.64;260.25;3.46;337.21;287.97;358.47;37.07;292.79;333.71;337.75;154.29;338.97;359.38;49.88;355.32;320.4;169.25;321.43;58.65;69.66;7.59;64.82;120.7;52.95;342.81;25.6;350.29;351.4;125.86;59.07;322.76;252.16;24.56
331.63;27.13;109.66;41.89;255.04;344.65;32.3;341.96;355.67;358.26;260.24;3.78;337.69;287.4;357.69;37.62;294.4;332.48;337;153.94;338.43;359.32;49.31;354.34;316.7;168.41;317.54;58.27;72.46;6.73;67.15;117.52;55.16;341.93;26.04;348.26;354.09;130.02;5.76;316.56;249.77;30.73
331.69;26.2;109.56;4.37;255.72;340.99;32.19;342.64;355.42;358.32;260.27;4.03;338.21;286.23;357.01;38.22;297.16;331.38;336.67;153.75;338.33;359.31;48.95;353.6;313.67;168.67;314.45;58.39;75.05;5.71;69.26;112.93;57.24;341.43;26.15;346.79;359.04;132.84;11.27;311.31;250.67;36.2
331.81;26.13;109.9;6.72;256.41;338.12;32.09;343.34;355.36;358.16;260.22;4.67;338.46;285.08;356.53;39.04;299.17;330.3;336.54;153.89;338.4;359.3;49.97;352.92;310.25;168.67;310.81;58.38;77.97;4.74;71.2;108.77;59.22;341.03;25.55;345.31;23.35;134.43;16.12;307.6;252.38;40.37
331.52;25.9;109.78;9.14;256.81;335.05;32.12;344;355.18;358.01;260.08;5.21;338.75;284.19;355.86;39.86;301.06;329.24;336.3;154.02;338.46;359.2;50.02;352.23;309.25;168.62;309.91;58.12;80.36;3.77;72.17;103.29;60.32;340.8;25.8;343.94;9.75;134.23;22.52;304.83;255.89;43.72
331.52;24.38;110.37;12.07;257.72;332.23;32.11;345.15;355.24;358;259.73;5.77;338.93;283.02;355.16;40.67;303.04;327.76;335.3;154.34;337.87;359.02;50.34;351.45;307.66;168.3;308.07;57.67;82.97;2.65;73.57;100.3;61.96;340.39;24.71;342.43;14.53;134.36;27.92;302.73;258.31;46.24
330.78;24.72;110.05;15.09;258.51;328.7;32.2;346.16;355.06;358.06;259.53;6.07;339.28;282.41;354.17;41.47;305.22;326.44;334.63;154.46;337.18;359.07;51.31;350.66;303.7;168.22;303.73;57.26;84.83;1.71;74.7;95.66;63.1;340.11;22.69;341.36;18.88;133.93;32.43;300.76;261.91;48.46
