R1X;R1Y;R1Z;R2X;R2Y;R2Z;R3X;R3Y;R3Z;R4X;R4Y;R4Z;R5X;R5Y;R5Z;R6X;R6Y;R6Z;R7X;R7Y;R7Z;L1X;L1Y;L1Z;L2X;L2Y;L2Z;L3X;L3Y;L3Z;L4X;L4Y;L4Z;L5X;L5Y;L5Z;L6X;L6Y;L6Z;L7X;L7Y;L7Z
26.03;26.3;6.45;27.59;18.25;0.89;1.13;20.88;5.44;27.2;19.54;3.34;25.1;25.06;2.47;1.56;21.24;0.88;4.98;11.07;5.4;54.4;6.35;27.39;38.01;14.57;11.05;5.17;3.91;0.76;4.11;8.05;2.25;53.73;1.74;54.84;54.67;6.68;55.21;54.35;50.86;26.66
49.94;50.38;12.37;53.4;34.92;1.25;2.22;40.12;10.35;52.15;37.51;6.49;48.19;48.04;4.7;3.13;40.79;1.52;9.63;21.3;10.46;77.95;11.61;52.44;47.77;26.96;22.47;9.96;7.64;1.49;8.19;14.98;4.67;76.68;3.32;78.64;78.42;13.88;79.55;77.32;69.26;25.13
71.93;72.42;17.83;77.61;50.16;29.93;3.34;57.83;14.76;75.1;54.04;9.43;69.46;69.05;6.69;4.72;58.89;1.91;13.82;30.77;15.04;99.56;16.48;75.34;57.81;38.25;34.03;14.48;11.43;2.13;12.26;21.33;7.18;97.67;4.8;100.36;100.24;21.48;73.2;97.81;84.81;24.26
92.17;92.69;22.81;71.55;64.18;55.8;4.46;74.19;18.72;96.18;69.23;12.17;89.04;88.29;8.47;6.28;75.61;2.14;17.76;39.49;19.34;119.42;20.94;96.31;67.48;48.54;45.07;18.72;15.15;2.69;16.2;26.98;9.7;116.89;6.12;120.2;120.44;29.1;67.56;116.04;98.44;24.05
110.77;111.3;27.37;66.3;77.09;79.22;5.5;89.26;22.28;115.53;83.27;14.75;107.06;105.9;10.09;7.83;91.04;2.18;21.42;47.5;23.33;137.71;25.05;115.5;76.8;57.87;55.66;22.71;18.83;3.17;20.01;31.87;12.18;134.52;7.31;138.33;139.23;36.49;62.66;132.32;110.74;24.35
127.87;128.34;31.53;61.99;89.01;100.22;6.58;103.19;25.43;133.32;96.17;17.14;123.63;122;11.58;9.35;105.31;2.06;24.79;54.87;26.99;154.56;28.84;133.1;85.79;66.41;65.78;26.38;22.43;3.55;23.67;36.14;14.63;150.68;8.28;154.88;156.83;43.47;58.49;146.96;122.04;24.96
143.61;143.98;35.32;58.47;100.08;119.06;7.67;116.08;28.21;149.66;108.07;19.36;138.93;136.72;12.87;10.86;118.62;30.57;27.82;61.68;30.27;170.17;31.74;149.57;94.56;74.46;75.63;29.71;25.87;3.89;27.06;39.81;16.95;165.52;9.08;170;144.43;50.02;54.93;160.17;132.54;25.85
158.04;158.27;38.79;55.68;110.37;135.91;8.78;127.92;30.64;164.61;118.98;21.45;153.07;150.23;13.95;12.32;130.9;56.64;30.65;67.94;33.3;184.56;34.28;164.69;103.4;81.87;85.45;32.65;29.26;4.07;30.28;43;19.19;179.09;9.68;183.75;133.35;56.03;51.95;172.09;142.31;26.86
171.3;171.34;41.95;53.56;119.96;150.93;9.91;138.84;32.73;178.34;129.02;23.39;166.08;162.53;14.91;13.79;142.32;80.48;33.24;73.76;36.1;197.87;36.71;178.55;111.75;88.69;94.66;35.33;32.54;4.15;33.38;45.57;21.37;191.52;10.14;196.27;123.49;61.52;49.55;182.89;151.49;28
183.51;183.22;44.85;51.93;128.95;164.42;11.06;148.93;34.56;190.94;138.2;25.22;178.09;173.74;15.69;15.26;152.96;102.23;35.62;79.16;38.65;210.04;38.74;191.23;119.87;94.89;103.57;37.75;35.82;4.13;36.29;47.64;23.45;202.94;10.33;207.65;114.66;66.52;47.62;192.69;160.18;29.23
194.77;194.1;47.4;50.82;137.52;176.38;12.23;158.35;36.06;202.61;146.68;26.82;189.25;183.91;16.27;16.74;162.96;121.98;37.57;84.26;40.74;221.14;40.7;202.75;127.29;100.35;111.71;40.07;39.19;4.09;39.03;49.39;25.6;213.46;10.2;217.96;106.75;71.18;46.04;201.58;168.4;30.45
205.17;203.99;49.69;50.07;145.72;187.03;13.38;167.11;37.32;213.31;154.49;28.35;199.52;193.2;16.75;18.15;172.3;140.06;39.36;88.95;42.7;231.29;42.54;213.15;134.43;105.17;119.49;42.23;42.58;3.98;41.64;50.72;27.62;223.13;9.93;227.35;99.71;75.49;44.87;209.66;176.2;31.73
214.74;213.05;51.83;49.54;153.49;196.67;14.49;175.24;38.48;223.03;161.61;29.93;208.91;201.68;17.19;19.56;180.99;156.61;41.15;93.24;44.68;240.54;44.05;222.66;141.59;109.62;127.29;44.04;45.99;3.79;44.01;51.6;29.44;232.05;9.71;235.84;93.44;79.39;44.1;217.05;183.72;33.03
223.57;221.23;53.84;49.25;160.94;205.34;15.59;182.84;39.45;231.99;168.15;31.39;217.6;209.37;17.51;20.96;189.17;171.68;42.63;97.23;46.32;248.98;45.1;231.3;148.75;113.63;135.04;45.6;49.39;32.27;46.2;52.15;31.11;240.24;9.31;243.51;87.87;82.88;43.63;223.78;190.86;34.33
